time/T_position,positional_angle,time/T_elevation,elevation_angle,time/T_feathering,feathering_angle
7.11046,14.40966,,,3.44018,26.11111
7.13478,3.5743,,,3.44897,32.22222
7.14635,-6.42667,,,3.4671,38.33333
7.19637,-17.26417,,,3.48508,46.11111
7.221,-25.59955,,,3.48441,53.33333
7.27145,-33.10376,,,3.50265,58.33333
7.30926,-38.94024,,,3.50208,64.44444
7.35993,-44.7778,,,3.52011,71.66667
7.42494,-38.94988,,,3.55717,75.55556
7.46457,-30.61985,,,3.56704,70.0
7.47807,-25.62098,,,3.58643,62.77778
7.50495,-16.45655,,,3.59656,54.44444
7.51952,-3.12443,,,3.61584,48.33333
7.53409,10.20769,,,3.63528,40.55556
7.57415,21.87102,,,3.66402,33.33333
7.60103,31.03544,,,3.67425,23.88889
7.64109,42.69877,,,3.67477,18.33333
7.68083,51.86213,,,3.6939,13.88889
7.72164,69.35873,,,3.71308,8.88889
7.74895,81.85645,,,3.74176,2.22222
7.86613,93.51335,,,3.76125,-6.11111
7.94207,84.34036,,,3.79009,-14.44444
7.96585,69.33837,,,3.80943,-21.11111
8.00377,64.33521,,,3.88395,-17.77778
8.02733,47.66658,,,3.93124,-23.33333
8.06429,35.16351,,,3.95993,-30.0
8.07553,22.66257,,,3.97921,-36.11111
8.12481,5.9918,,,3.9803,-47.77778
8.16154,-8.17793,,,4.00883,-52.77778
8.18532,-23.17991,,,4.00925,-57.22222
8.22281,-31.51637,,,4.01918,-63.33333
8.3371,-42.35923,,,4.04781,-69.44444
8.42739,-39.86675,,,4.07619,-72.77778
8.46745,-28.20343,,,4.1134,-70.55556
8.50762,-15.70677,,,4.11293,-65.55556
8.52197,-4.0413,,,4.12145,-56.66667
8.54993,13.45637,,,4.13013,-49.44444
8.57681,22.62079,,,4.16651,-38.33333
8.63026,38.44967,,,4.16563,-28.88889
8.64494,52.61512,,,4.20206,-18.33333
8.67236,65.94617,,,4.21079,-11.66667
8.72506,75.94177,,,4.21942,-3.88889
8.77776,85.93738,,,4.256,5.0
8.83013,93.43302,,,4.26447,14.44444
8.9321,86.75785,,,4.30101,23.88889
8.95695,80.08912,,,4.39492,20.0
8.98105,67.58711,,,4.44086,28.88889
8.9923,55.08617,,,4.44949,36.66667
9.04178,40.08205,,,4.45806,45.0
9.09084,21.74463,,,4.47599,53.33333
9.08913,8.41144,,,4.49397,61.11111
9.11355,-1.5906,,,4.5027,67.77778
9.15018,-16.59365,,,4.53009,75.0
9.2002,-27.43115,,,4.57733,70.0
9.27614,-36.60415,,,4.59651,65.0
9.32649,-44.94168,,,4.59698,60.0
9.37854,-39.94602,,,4.6161,55.55556
9.43199,-24.11714,,,4.62608,48.88889
9.49786,-11.62263,,,4.61724,43.33333
9.52539,2.54175,,,4.64588,37.22222
9.52539,2.54175,,,4.66526,30.0
9.55228,11.70617,,,4.67503,25.55556
9.55367,22.53939,,,4.70377,18.33333
9.58141,38.37041,,,4.7323,13.33333
9.63529,57.53259,,,4.73298,6.11111
9.68831,70.02817,,,4.73366,-1.11111
9.72826,80.85817,,,4.77191,-10.0
9.9337,79.17439,,,4.78173,-15.0
9.94527,69.17342,,,4.82008,-25.0
9.98297,62.50361,,,4.88515,-20.55556
,,,,4.94185,-26.66667
,,,,4.95224,-37.77778
,,,,4.96227,-45.0
,,,,4.9907,-48.88889
,,,,5.01029,-58.33333
,,,,5.01081,-63.88889
,,,,5.06746,-69.44444
,,,,5.0951,-65.0
,,,,5.09432,-56.66667
,,,,5.13107,-49.44444
,,,,5.1492,-43.33333
,,,,5.14843,-35.0
,,,,5.16661,-29.44444
,,,,5.19405,-22.77778
,,,,5.19312,-12.77778
,,,,5.22056,-6.11111
,,,,5.22913,2.22222
,,,,5.24686,12.77778
,,,,5.2928,21.66667
,,,,5.36763,21.66667
,,,,5.42277,32.22222
,,,,5.43114,42.77778
,,,,5.46778,51.11111
,,,,5.48597,56.66667
,,,,5.51341,63.33333
,,,,5.54048,73.88889
,,,,5.56928,66.11111
,,,,5.5698,60.55556
,,,,5.59827,56.11111
,,,,5.599,48.33333
,,,,5.61818,43.33333
,,,,5.62842,33.88889
,,,,5.67618,23.33333
,,,,5.69567,15.0
,,,,5.69624,8.88889
,,,,5.71552,2.77778
,,,,5.72539,-2.77778
,,,,5.75392,-7.77778
,,,,5.78271,-15.55556
,,,,5.82086,-23.33333
,,,,5.89533,-19.44444
,,,,5.93337,-26.11111
,,,,5.9526,-31.66667
,,,,5.96263,-38.88889
,,,,5.98212,-47.22222
,,,,5.98269,-53.33333
,,,,5.99262,-59.44444
,,,,6.0212,-65.0
,,,,6.04043,-70.55556
,,,,6.087,-68.33333
,,,,6.08669,-65.0
,,,,6.09552,-59.44444
,,,,6.15061,-48.33333
,,,,6.15024,-44.44444
,,,,6.14967,-38.33333
,,,,6.16745,-28.33333
,,,,6.17618,-21.66667
,,,,6.19426,-15.0
,,,,6.2031,-9.44444
,,,,6.22056,3.88889
,,,,6.22903,13.33333
,,,,6.26588,19.44444
,,,,6.28417,23.88889
,,,,6.35942,19.44444
,,,,6.41524,22.77778
,,,,6.43337,28.88889
,,,,6.44231,33.33333
,,,,6.44179,38.88889
,,,,6.45058,45.0
,,,,6.45941,50.55556
,,,,6.46809,57.77778
,,,,6.47667,66.11111
,,,,6.49475,72.77778
,,,,6.57858,76.66667
,,,,6.56091,65.55556
,,,,6.58991,55.55556
,,,,6.60004,47.22222
,,,,6.62873,40.55556
,,,,6.63881,32.77778
,,,,6.66745,26.66667
,,,,6.68699,17.77778
,,,,6.69702,10.55556
,,,,6.72591,1.66667
,,,,6.74535,-6.11111
,,,,6.76463,-12.22222
,,,,6.78381,-17.22222
,,,,6.86805,-17.77778
,,,,6.9156,-26.11111
,,,,6.94434,-33.33333
,,,,6.94496,-40.0
,,,,6.96419,-45.55556
,,,,6.97417,-52.22222
,,,,6.98431,-60.55556
,,,,7.01294,-66.66667
,,,,7.02255,-69.44444
,,,,7.06896,-65.55556
,,,,7.10581,-59.44444
,,,,7.1056,-57.22222
,,,,7.11465,-53.88889
,,,,7.11413,-48.33333
,,,,7.11371,-43.88889
,,,,7.13174,-36.66667
,,,,7.14998,-31.66667
,,,,7.14962,-27.77778
,,,,7.15851,-22.77778
,,,,7.15799,-17.22222
,,,,7.19483,-11.11111
,,,,7.19442,-6.66667
,,,,7.20351,-3.88889
,,,,7.23095,2.77778
,,,,7.24883,11.66667
,,,,7.27627,18.33333
,,,,7.3324,18.33333
,,,,7.39793,17.77778
,,,,7.41586,26.11111
,,,,7.42412,37.77778
,,,,7.4512,48.33333
,,,,7.47848,56.66667
,,,,7.47765,65.55556
,,,,7.50483,75.0
,,,,7.55223,68.33333
,,,,7.57141,63.33333
,,,,7.59074,56.66667
,,,,7.62005,43.33333
,,,,7.62099,33.33333
,,,,7.64983,25.0
,,,,7.66942,15.55556
,,,,7.69811,8.88889
,,,,7.72711,-1.11111
,,,,7.72763,-6.66667
,,,,7.75647,-15.0
,,,,7.78485,-18.33333
,,,,7.87834,-17.77778
,,,,7.90692,-23.33333
,,,,7.91711,-32.22222
,,,,7.93649,-39.44444
,,,,7.95577,-45.55556
,,,,7.96565,-51.11111
,,,,7.96622,-57.22222
,,,,7.9855,-63.33333
,,,,7.98607,-69.44444
,,,,8.05213,-75.55556
,,,,8.07967,-70.0
,,,,8.0791,-63.88889
,,,,8.07868,-59.44444
,,,,8.08726,-51.11111
,,,,8.09583,-42.77778
,,,,8.14172,-33.33333
,,,,8.14099,-25.55556
,,,,8.15882,-16.11111
,,,,8.17664,-6.66667
,,,,8.19457,1.66667
,,,,8.23142,7.77778
,,,,8.23069,15.55556
,,,,8.2771,19.44444
,,,,8.36129,19.44444
,,,,8.40739,26.66667
,,,,8.40692,31.66667
,,,,8.40635,37.77778
,,,,8.42449,43.88889
,,,,8.43322,50.55556
,,,,8.45141,56.11111
,,,,8.46024,61.66667
,,,,8.45936,71.11111
,,,,8.50587,73.88889
,,,,8.54381,68.33333
,,,,8.54423,63.88889
,,,,8.5449,56.66667
,,,,8.6016,50.55556
,,,,8.60228,43.33333
,,,,8.60321,33.33333
,,,,8.63185,27.22222
,,,,8.6609,16.66667
,,,,8.69005,5.0
,,,,8.74706,-4.44444
,,,,8.74774,-11.66667
,,,,8.76728,-20.55556
,,,,8.86083,-20.55556
,,,,8.89876,-26.11111
,,,,8.91799,-31.66667
,,,,8.92766,-35.0
,,,,8.94735,-45.55556
,,,,8.94782,-50.55556
,,,,8.95775,-56.66667
,,,,8.96778,-63.88889
,,,,9.01518,-70.55556
,,,,9.05176,-61.66667
,,,,9.09765,-52.22222
,,,,9.12483,-42.77778
,,,,9.12436,-37.77778
,,,,9.12379,-31.66667
,,,,9.13237,-23.33333
,,,,9.15986,-17.22222
,,,,9.16823,-6.66667
,,,,9.18605,2.77778
,,,,9.21354,8.88889
,,,,9.22227,15.55556
,,,,9.24935,26.11111
,,,,9.34336,21.11111
,,,,9.39876,28.88889
,,,,9.426,37.77778
,,,,9.42542,43.88889
,,,,9.44341,51.66667
,,,,9.46087,65.0
,,,,9.49745,73.88889
,,,,9.53565,65.55556
,,,,9.57385,57.22222
,,,,9.58367,52.22222
,,,,9.58466,41.66667
,,,,9.6042,32.77778
,,,,9.63304,24.44444
,,,,9.65258,15.55556
,,,,9.68158,5.55556
,,,,9.70117,-3.88889
,,,,9.73023,-14.44444
,,,,9.77783,-23.33333
,,,,9.87112,-20.55556
,,,,9.87184,-28.33333
,,,,9.91924,-35.0
,,,,9.92958,-45.55556
,,,,9.95842,-53.88889
,,,,9.96851,-61.66667
,,,,9.9974,-70.55556
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
